187.188.208.76	r1.sn-uvu5a2a5t-hxme6.googlevideo.com
187.188.207.204	r1.sn-uvu5a2a5t-hxmes.googlevideo.com
209.91.105.140	r1.sn-uxa0n-ttjs.googlevideo.com
164.160.139.108	r1.sn-uxajvjvhvgxn-i5ie.googlevideo.com
62.162.67.76	r1.sn-uxax3vhh3-n32l.googlevideo.com
181.10.24.236	r1.sn-uxaxjvh5gbxoupo5-jvgl.googlevideo.com
213.158.172.204	r1.sn-uxaxjvhxbt2u-5at6.googlevideo.com
190.55.62.76	r1.sn-uxaxjxougv-x1xee.googlevideo.com
77.214.52.204	r1.sn-uxaxovg-j2is.googlevideo.com
193.212.4.44	r1.sn-uxaxovg-vnar.googlevideo.com
193.15.224.236	r1.sn-uxaxufv-15be.googlevideo.com
109.62.68.12	r1.sn-v0ugxhxg-4q4e.googlevideo.com
192.232.16.76	r1.sn-v5goxu-jhil.googlevideo.com
109.166.251.44	r1.sn-vg5obxgv-jawe.googlevideo.com
41.91.254.12	r1.sn-vg5obxxb-j5pe.googlevideo.com
41.91.252.12	r1.sn-vg5obxxb-j5ps.googlevideo.com
173.194.55.135	r1.sn-vgqsdn7s.a1.googlevideo.com
173.194.55.71	r1.sn-vgqsenls.googlevideo.com
62.42.250.204	r1.sn-vov-cjol.googlevideo.com
202.153.85.76	r1.sn-vvgxqvv-haxe.googlevideo.com
77.87.99.24	r1.sn-vvvpuu-pbue.googlevideo.com
110.164.14.76	r1.sn-w5nuxa-0uil.googlevideo.com
110.164.22.12	r1.sn-w5nuxa-nove.googlevideo.com
173.194.161.231	r1.sn-x1x7zn7e.googlevideo.com
131.72.205.236	r1.sn-x2x5g-jvge.googlevideo.com
193.229.108.44	r1.sn-xap5-uh2e.googlevideo.com
80.228.66.140	r1.sn-xfxuxa-cgxs.googlevideo.com
150.100.16.76	r1.sn-xgmnpoxuopp-puhe.googlevideo.com
85.113.32.12	r1.sn-xguxaxjvh-304l.googlevideo.com
186.160.223.12	r1.sn-xouxa2xg0-aphe.googlevideo.com
210.253.46.76	r1.sn-xoxgbp5-ipwe.googlevideo.com
159.134.168.12	r1.sn-xpgjvh-q0cs.googlevideo.com
103.210.49.12	r1.sn-xuixgoxuxmpo-bvpe.googlevideo.com
191.7.136.76	r1.sn-xwhoxu-nn5e.googlevideo.com
64.15.118.23	r10---sn-4gxx-hgns.googlevideo.com
173.194.2.28	r10---sn-axq7sn7s.googlevideo.com
173.194.176.92	r10---sn-n8v7kn7z.googlevideo.com
213.123.253.89	r10.sn-cu-auoz.googlevideo.com
173.194.50.157	r11---sn-3c27sn7k.googlevideo.com
